"id","quiz_assignment_identifier","assignee_id","quiz_id","current_question","remaining_attempts","completed_success","creation_date","completed_date"
45,"59f54521-ad27-466e-99b7-9504f4bbce2d",39,23,0,3,NULL,"2023-04-15 16:47:12.521115",NULL
46,"a62c227a-c582-4a66-afe6-ba551b148f0c",40,22,0,3,NULL,"2023-04-15 16:47:12.68186",NULL
47,"b8eb9d9f-8691-41c7-ab81-d509438b5a34",41,56,0,3,NULL,"2023-04-15 16:47:12.848512",NULL
48,"2bf8929d-e657-4c3f-856a-63251da544e7",42,34,0,3,NULL,"2023-04-15 16:47:12.989704",NULL
49,"3072e5d7-e80b-4b68-ad1a-62d602994abf",43,62,0,3,NULL,"2023-04-15 16:47:13.140542",NULL
50,"0a30f25d-0149-4289-a0dc-71b942802510",44,61,0,3,NULL,"2023-04-15 16:47:13.297562",NULL
51,"45b3e9cb-286f-4553-80a3-7d5220177a03",45,60,0,3,NULL,"2023-04-15 16:47:13.457772",NULL
52,"7a0330af-5633-4912-bc46-46fdbbdb0c7e",46,59,0,3,NULL,"2023-04-15 16:47:13.61459",NULL
53,"86f346a1-5398-40ec-9eda-07690ea54f4f",47,58,0,3,NULL,"2023-04-15 16:47:13.767271",NULL
54,"c8e3b602-2d62-47bf-afa1-9ca78c7b9b70",48,57,0,3,NULL,"2023-04-15 16:47:13.919095",NULL
55,"ce0eb48d-ea0b-4216-a16d-8af11bb2e940",49,55,0,3,NULL,"2023-04-15 16:47:14.079603",NULL
56,"63b1641a-ddf3-41cf-b343-a73245d2e027",50,54,0,3,NULL,"2023-04-15 16:47:14.23916",NULL
57,"52620eed-53f3-4a2b-98e9-aa8d4323f0af",51,53,0,3,NULL,"2023-04-15 16:47:14.39867",NULL
58,"48d16ee5-05d6-4f3e-9382-02537fd0911c",52,52,0,3,NULL,"2023-04-15 16:47:14.553479",NULL
59,"12ae2340-b383-4d15-9fec-f025a3df04a0",53,51,0,3,NULL,"2023-04-15 16:47:14.708085",NULL
60,"759f19d7-66c4-4d6d-9664-c97ffa57928a",54,50,0,3,NULL,"2023-04-15 16:47:14.875715",NULL
61,"bf5a6049-aecc-44b6-a3bf-1e7eb8461a25",55,49,0,3,NULL,"2023-04-15 16:47:15.039906",NULL
62,"a126c116-147e-466d-bf85-07acbb2a3280",56,48,0,3,NULL,"2023-04-15 16:47:15.204275",NULL
63,"8ab2673b-53f5-48dc-9da4-f8d51d0c261a",57,63,0,3,NULL,"2023-04-15 16:47:15.366476",NULL
64,"1ef0ea9f-5a74-48a8-9465-50ca0a77ca7d",58,47,0,3,NULL,"2023-04-15 16:47:15.538042",NULL
65,"102fa926-9f2c-4e32-a7cb-641185dd008e",59,46,0,3,NULL,"2023-04-15 16:47:15.695265",NULL
66,"65b1d599-e772-4da2-8e91-2484fdba1d77",60,45,0,3,NULL,"2023-04-15 16:47:15.847384",NULL
67,"0906947f-e512-44ad-a771-6f44ee867fb6",61,44,0,3,NULL,"2023-04-15 16:47:16.009408",NULL
68,"39736fd7-bbca-4327-ae17-04badf0c9a42",62,43,0,3,NULL,"2023-04-15 16:47:16.165849",NULL
7,"c9b55509-0f5f-4bbc-9ac4-771cdc04edfb",1,62,0,3,NULL,"2023-04-15 16:47:06.440274",NULL
8,"b9970975-d672-49cd-a1ff-993df40c6f95",2,61,0,3,NULL,"2023-04-15 16:47:06.587335",NULL
9,"4c5899cc-63f9-40b5-95cc-4ebb54668133",3,60,0,3,NULL,"2023-04-15 16:47:06.733218",NULL
10,"2972c78a-4fcd-46d0-96e9-3751708ff5df",4,59,0,3,NULL,"2023-04-15 16:47:06.882021",NULL
11,"de39eb12-0e4a-4427-ad3d-34c22195b01e",5,58,0,3,NULL,"2023-04-15 16:47:07.042811",NULL
12,"fa999977-9973-4894-b607-090e1cc5a353",6,57,0,3,NULL,"2023-04-15 16:47:07.208144",NULL
13,"1875065d-5a87-402d-8b9d-e0f16336c0b2",7,55,0,3,NULL,"2023-04-15 16:47:07.363901",NULL
14,"b1ce3f4f-57de-44c8-91c2-a26736fdf50f",8,54,0,3,NULL,"2023-04-15 16:47:07.52015",NULL
15,"f2dcd370-b9a8-4045-87fd-9220b3746702",9,53,0,3,NULL,"2023-04-15 16:47:07.670179",NULL
16,"c4b224cc-c72b-47fb-a41e-238ba2d4c639",10,52,0,3,NULL,"2023-04-15 16:47:07.82457",NULL
17,"e0c9d95d-b5b0-41f6-90d8-5d87a1a940a6",11,51,0,3,NULL,"2023-04-15 16:47:07.96754",NULL
18,"da3c3a44-6e30-4d54-b1ca-8fc01d9e30ef",12,50,0,3,NULL,"2023-04-15 16:47:08.121645",NULL
19,"dea2c20a-9c4e-446a-9dd2-abf30c887199",13,49,0,3,NULL,"2023-04-15 16:47:08.291328",NULL
20,"69702074-4434-4cb7-8308-c88da4190d30",14,48,0,3,NULL,"2023-04-15 16:47:08.486538",NULL
21,"7618798c-9ade-4804-89a7-84f46f90c8da",15,63,0,3,NULL,"2023-04-15 16:47:08.657222",NULL
22,"0821b738-47b1-4461-9c43-ed65333be488",16,47,0,3,NULL,"2023-04-15 16:47:08.821519",NULL
23,"987b6498-b106-4add-acd2-64072eee3dfa",17,46,0,3,NULL,"2023-04-15 16:47:08.979527",NULL
24,"0d041f30-2d15-4cf2-b95c-bf1cbe9e9f28",18,45,0,3,NULL,"2023-04-15 16:47:09.141844",NULL
25,"d46af2ae-068f-4053-9299-c86aaa7031dc",19,44,0,3,NULL,"2023-04-15 16:47:09.30141",NULL
26,"d6d5d3d8-a9b4-4370-b5a6-a6b03e4ac5bb",20,43,0,3,NULL,"2023-04-15 16:47:09.463397",NULL
27,"560cdca0-14e6-430c-a9c0-45d0bab23f9a",21,42,0,3,NULL,"2023-04-15 16:47:09.61954",NULL
28,"fb096317-0e9e-43d7-8bb8-7ff630d1868f",22,41,0,3,NULL,"2023-04-15 16:47:09.779997",NULL
29,"98da4568-4845-4bf5-8c95-3d6c6011a9bf",23,40,0,3,NULL,"2023-04-15 16:47:09.936242",NULL
30,"f8777ac8-5a5d-461f-ba4e-33de0fc3e766",24,39,0,3,NULL,"2023-04-15 16:47:10.095749",NULL
31,"bf58d799-2ea6-47a2-9a07-aa7482ad603d",25,38,0,3,NULL,"2023-04-15 16:47:10.255111",NULL
32,"29958ee8-3ef3-4ac6-aa3b-0edfc9bcc1d9",26,37,0,3,NULL,"2023-04-15 16:47:10.408692",NULL
33,"6d8eb2f8-f316-409d-82bb-017459e92bd9",27,36,0,3,NULL,"2023-04-15 16:47:10.562457",NULL
34,"165660c9-9e63-4874-9f47-80430d5ef875",28,35,0,3,NULL,"2023-04-15 16:47:10.719348",NULL
35,"a37359e1-6dc5-4b80-851a-0e432f6699d5",29,33,0,3,NULL,"2023-04-15 16:47:10.880636",NULL
36,"730977e9-7fae-41f9-b0ed-7d6cdb276254",30,32,0,3,NULL,"2023-04-15 16:47:11.040888",NULL
37,"db4cd5d5-354a-4ff1-85db-281d82f91b3e",31,31,0,3,NULL,"2023-04-15 16:47:11.21568",NULL
38,"50f4890d-c676-4b1a-a04b-ee97ea968ad3",32,30,0,3,NULL,"2023-04-15 16:47:11.37825",NULL
39,"939ef73a-8dbb-4dac-956b-364e165eb0fb",33,29,0,3,NULL,"2023-04-15 16:47:11.53975",NULL
40,"7fc54e0f-cc6d-4c29-ad84-6998e0dd2368",34,28,0,3,NULL,"2023-04-15 16:47:11.691738",NULL
41,"9130ed4e-cc5b-42a1-9d00-991e9c4e7260",35,27,0,3,NULL,"2023-04-15 16:47:11.85199",NULL
42,"d1213bdd-952d-4a7b-b9ae-9dfed16c07b5",36,26,0,3,NULL,"2023-04-15 16:47:12.016978",NULL
43,"2b39597b-e6d6-4de8-bc49-ebd225b936e3",37,25,0,3,NULL,"2023-04-15 16:47:12.202547",NULL
44,"4c77fc46-67e6-44ad-a770-ba9eb64e3a15",38,24,0,3,NULL,"2023-04-15 16:47:12.35763",NULL
69,"1a848060-2eaf-48cb-86bd-be5d1ce8f481",63,42,0,3,NULL,"2023-04-15 16:47:16.325749",NULL
70,"dd8d466a-7554-41d1-b628-14c2be68d993",64,41,0,3,NULL,"2023-04-15 16:47:16.482534",NULL
71,"21b15bf9-0407-4280-95e4-9312e195d7c5",65,40,0,3,NULL,"2023-04-15 16:47:16.646989",NULL
72,"30ef29b8-083e-4dc8-be5e-79d9adda5ae5",66,39,0,3,NULL,"2023-04-15 16:47:16.808246",NULL
73,"7a1c09b0-a45e-43ad-9b91-5b556b632201",67,38,0,3,NULL,"2023-04-15 16:47:16.972335",NULL
74,"180f8fe0-df4b-4fba-abc1-812c67803bb7",68,37,0,3,NULL,"2023-04-15 16:47:17.135671",NULL
75,"2bc24402-ab27-41ae-a308-1167fb84be06",69,36,0,3,NULL,"2023-04-15 16:47:17.290165",NULL
76,"22289ee1-95e1-4874-8f7c-3c71a5db1e6b",70,35,0,3,NULL,"2023-04-15 16:47:17.447526",NULL
77,"6d331d9d-3ba5-404d-8d74-be43bc39e070",71,33,0,3,NULL,"2023-04-15 16:47:17.613218",NULL
78,"a906d218-1362-4786-971f-825e41acbda1",72,32,0,3,NULL,"2023-04-15 16:47:17.777163",NULL
79,"d9db1e3c-842c-4e2f-b4f9-5131e6e23d23",73,31,0,3,NULL,"2023-04-15 16:47:17.934837",NULL
80,"e5388921-a5ad-4d8e-9b0f-996a6d5bdabb",74,30,0,3,NULL,"2023-04-15 16:47:18.085996",NULL
81,"c4dc44bc-ab8c-4694-ac49-1024ed9d04c8",75,29,0,3,NULL,"2023-04-15 16:47:18.242033",NULL
82,"0777c2a0-68a1-44d7-9333-31c12a350294",76,28,0,3,NULL,"2023-04-15 16:47:18.417713",NULL
83,"4c8f3932-b75b-4fd0-b56e-1d9fc7deb5d0",77,27,0,3,NULL,"2023-04-15 16:47:18.571708",NULL
84,"28215ac7-585c-41f6-8f97-e366b31948c0",78,26,0,3,NULL,"2023-04-15 16:47:18.72027",NULL
85,"45f5945d-bcb9-4f0f-8176-884ee70eedf5",79,25,0,3,NULL,"2023-04-15 16:47:18.8841",NULL
86,"9fbb75d3-36fa-4990-8fc8-75641904ebc9",80,24,0,3,NULL,"2023-04-15 16:47:19.039479",NULL
87,"3f79711c-ca63-40e4-b400-59f43fe745a1",81,23,0,3,NULL,"2023-04-15 16:47:19.211238",NULL
88,"ee4e5d3d-5004-44da-aee9-b01194e13cf1",82,22,0,3,NULL,"2023-04-15 16:47:19.36874",NULL
89,"94a191ae-ce68-425a-a883-2b22ca5f40cf",83,56,0,3,NULL,"2023-04-15 16:47:19.535318",NULL
90,"df044547-1659-4f5f-8d4f-16051594d494",84,34,0,3,NULL,"2023-04-15 16:47:19.695789",NULL
91,"dd15bff6-9355-4ce0-9763-4526906f755a",85,62,0,3,NULL,"2023-04-15 16:47:19.849531",NULL
92,"8e50f628-e8a0-4223-9df6-92bf747522dc",86,61,0,3,NULL,"2023-04-15 16:47:20.00669",NULL
